userid,username,item,item_type,ctime,comment,rating,product_quality,seller_service,delivery_service,has_template_tag,template_tags,tags,is_oversea,origin_region,like_count,is_repeated_purchase,exclude_scoring_due_low_logistic
592634146,s3pez23hwb,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664073800,It's my second time ordering this. Will recommend to those who want to buy t shirts. Ganda nung tela. Thank you po ulit.,5,5,5,5,False,[],,False,ph,,False,False
592611253,m*****p,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663494761,Good product for its price. super love it thanks seller and shopee👍,5,5,5,5,False,[],,False,ph,,False,False
592591197,k*****p,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663492537,got mine 😍 sobrang ganda same shirt with my Favorite girl 🌻🌼 next naman yung new release nila 💛💛💛 solid at astig ng shirt 👌,5,5,5,5,False,[],,False,ph,,False,False
592630252,kz0eyigj87,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664073101,"Really like the colour. The front is plain and the print is on the back which is a nice change. Fits true to size. T-shirt is lightweight and comfortable.Feel very good, next time will buy more pieces.Quality good and true to size,Definitely will buy again",5,5,5,5,False,[],,False,ph,,False,False
592625364,1fzkjsfhit,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664072770,Ang ganda nung print as if part talaga ng tela.,5,5,5,5,False,[],,False,ph,,False,False
591874209,ptgex5h6it,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663554908,"The fabric is nice even though it's not very thick, after I washed it, the brand didn't get tangled, so thumbsup, All good in the hood",5,5,5,5,False,[],,False,ph,,False,False
592620943,h8_jj8be2y,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664072437,"I really like this kind of oversize T-shirt, 🍃It is very comfortable to wear and the quality is good, 👏🏻This pattern is very beautiful, 🛒It is worth buying!",5,5,5,5,False,[],,False,ph,,False,False
592640323,5wmtsv5v9n,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664073987,"Worth it yung price. Ganda ng tela, stretchable ✨ Thank youuu po .",5,5,5,5,False,[],,False,ph,,False,False
593686115,933hg5t18a,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664853442,"Appearance:Fabric quality: The quality is very good, but your print is also very good-looking, there is no obvi",5,5,5,5,True,"['Colour', 'Material Quality', 'Appearance']",,False,ph,,False,False
591879884,td95fh6fyj,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663555352,"Purong cotton, napakagandang kalidad, sunod sa moda at maganda. Papuri",5,5,5,5,False,[],,False,ph,,False,False
592594791,_*****5,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663493189,Sobrang ganda legit ang kapal pati mukha ng jowa kong babaero 🤣,5,5,5,5,False,[],,False,ph,,False,False
591871255,fwxkw787i3,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663554677,I am very satisfied with my order and my partner is very happy.,5,5,5,5,False,[],,False,ph,,False,False
591877944,1p8gzmcn8c,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663555185,The T-shirt is nice! I like it 🤗 thank you!,5,5,5,5,False,[],,False,ph,1.0,False,False
592615431,p*****u,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663495375,"Maganda sya sobraaaa mapapa wow ka talaga at hindi ka magsisisi grabee di sayang pera mo sa order na to , order po ulit ako para sa kapatid ko hehe ty seller",5,5,5,5,False,[],,False,ph,,False,False
591868390,c2r5juspk6,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1663554283,⭐⭐⭐⭐⭐ I will order again because it is beautiful ✨The fabric is beautiful! The fabric is thick ❤❤❤ It's right for me! It was worth my order. I will order again for my mom and my brother and my partner.. salute the Seller of this shop✋👍👍👍👍 I recommend this shop let's order now☺️😊😊😊😊😊 thank y,5,5,5,5,False,[],,False,ph,,False,False
592975933,uqliojfu39,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247433,"Ang damit ay maganda, at ang kwalidad ay maganda. Gusto ko ang tela. Hindi ko gusto ang makinis na tela, ngunit ang tela na ito ay maganda, kaya ipagpalagay kong bumili ito",5,5,5,5,False,[],,False,ph,,False,False
593089297,88_m8x8h_d,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247993,ganda po ng quality po ng mga items niyo po. dami pong umorder sakin. malaki ma iipon ko kase mura lang daming bumili sakin at maganda na po. kompleto po items. oorder po ako ulit ng madami. salamat seller 😊,5,5,5,5,False,[],,False,ph,,False,False
593084169,atv3nne37k,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247877,Ganda ng design. Sana magustuhan ng kapatid ko. bilis din nia dumating. mura pa. Will order again. :) :) Thank you seller.,5,5,5,5,False,[],,False,ph,,False,False
593073370,kgeh0n8qsr,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247597,"I received the product, I like it very much. I can't wait to open it as soon as I receive it. The short-sleeved cotton feels so comfortable. I plan to buy another one for my boyfriend.",5,5,5,5,False,[],,False,ph,,False,False
593689972,_rotgg7g3t,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664853605,"My comment on this shirt is you have to buy it and not 'don't think twice, this shirt is thick and the print looks great. Delivery is also fast!",5,5,5,5,False,[],,False,ph,,False,False
593077705,je_c4w826o,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664247732,The product arrived in a good condition and well packed… ❤️ thank you for selling out such this awesome item. Will order again soon! Godbless.,5,5,5,5,False,[],,False,ph,,False,False
593819787,nvo1b_s9i4,TShirt for Men Women Inspired Cotton Trendy Loose Clothing Oversize Tee Shirts Short Sleeve Swag Top,1,1664853982,"Satisfied 10 points, the price is right, close to the body. You can come here if you like a larger size.",5,5,5,5,False,[],,False,ph,,False,False
